,subject_id,hours,rating,units,offered_fall,offered_spring,prerequisites,is_hass,schedule
27,2.003,10.47,5.41,12,TRUE,TRUE,"8.02,",FALSE,"Lecture,10-250/TR/0/9-10.30;Recitation,5-233/R/0/12,5-233/R/0/1,5-233/R/0/2,5-233/R/0/3,5-217/F/0/10,5-217/F/0/11"
28,2.009,24.03,6.28,15,TRUE,FALSE,"2.001, 2.003, 2.005, 2.670,",FALSE,"Lecture,10-250/MWF/0/1;Lab,3-037A/T/0/2-5,3-037B/T/0/2-5,3-037C/T/0/2-5,3-037D/T/0/2-5,3-037A/T/1/7-10 PM,3-037B/T/1/7-10 PM,3-037A/W/0/2-5,3-037C/W/0/2-5,3-037D/W/0/2-5,3-037B/W/0/2-5,3-037A/W/1/7-10 PM,3-037B/W/1/7-10 PM,3-037A/R/0/9-12,3-037B/R/0/9-12,3-037A/R/0/2-5,3-037B/R/0/2-5"
29,2.086,9.79,4.39,12,TRUE,TRUE,"18.02, 8.01,",FALSE,"Lecture,3-270/MW/0/12;Lab,5-134/R/0/2-4,1-379/W/0/2-4,5-134/R/0/9-11,W31-301/F/0/9-11"
30,2.016,8.85,6.17,12,TRUE,FALSE,"2.005,",FALSE,"Lecture,3-442/TR/0/11-12.30"
31,2.005,12.11,5.96,12,TRUE,TRUE,"18.02, 8.02, 18.06,",FALSE,"Lecture,1-190/MW/0/9-11;Recitation,1-375/R/0/2,1-246/R/0/3,1-246/R/0/4,1-246/F/0/10,1-246/F/0/11,1-246/F/0/1"
32,17.433,12,5.5,12,FALSE,TRUE,,TRUE,
33,14.54,7.4,5.78,12,TRUE,FALSE,"14.01,",TRUE,"Lecture,E51-376/MW/0/10.30-12;Recitation,E51-376/F/0/11"
34,2.014,15.74,5.4,12,FALSE,TRUE,"2.001, 2.003, 2.005, 2.670,",FALSE,
35,2.013,15.87,5.72,12,TRUE,FALSE,"2.001, 2.003, 2.005, 2.670,",FALSE,"Lecture,NE45-202A/TR/0/2.30-5"
36,14.30,8.92,4.85,12,TRUE,FALSE,"18.02,",FALSE,"Lecture,2-190/TR/0/1-2.30;Recitation,32-155/F/0/2"
37,18.03,10.13,5.16,12,TRUE,TRUE,,FALSE,"Lecture,26-100/MW/0/1/F/0/12;Recitation,2-139/TR/0/9,2-142/TR/0/9,2-139/TR/0/10,2-142/TR/0/10,2-139/TR/0/11,2-142/TR/0/11,2-143/TR/0/11,2-139/TR/0/12,2-142/TR/0/12,2-143/TR/0/12,2-139/TR/0/1,2-142/TR/0/1,2-143/TR/0/1,2-139/TR/0/2,2-142/TR/0/2,2-139/TR/0/3"
38,21G.593,8,6.8,13,TRUE,FALSE,"21G.504,",TRUE,"Lecture,4-249/TR/0/2-3.30"
39,21G.505,8.56,6.53,12,TRUE,FALSE,"21G.504,",TRUE,"Lecture,14N-313/MW/0/9-10.30/F/0/9,14N-313/MW/0/10.30-12/F/0/10"
40,21G.591,7.55,6.35,13,TRUE,FALSE,"21G.504,",TRUE,
41,14.19,8.2,6.3,12,TRUE,FALSE,"14.01,",TRUE,"Lecture,E51-151/MW/0/2.30-4;Recitation,E51-376/F/0/1"
42,14.64,7.4,6.7,12,TRUE,FALSE,"14.30,",TRUE,"Lecture,E52-432/TR/0/10.30-12;Recitation,E52-432/F/0/10.30-12"
43,2.006,13.53,5.44,12,TRUE,TRUE,"2.005,",FALSE,"Lecture,3-370/MW/0/9.30-11/F/0/9;Recitation,1-371/F/0/11,1-371/F/0/1,1-371/F/0/2"
44,14.01,7.4,5.29,12,TRUE,TRUE,,TRUE,"Lecture,32-123/MW/0/11;Recitation,4-261/F/0/11,6-120/F/0/11,4-261/F/0/12,4-237/F/0/1"
45,6.215,11,4.8,12,TRUE,FALSE,"18.06,",FALSE,"Lecture,4-270/TR/0/1-2.30;Recitation,4-163/W/0/3,56-114/F/0/1"
46,14.41,8.6,6.7,12,TRUE,FALSE,"14.01,",TRUE,"Lecture,1-190/MW/0/2.30-4;Recitation,E52-164/F/0/1"
47,2.002,11.07,6,12,FALSE,TRUE,"5.111, 2.001,",FALSE,
48,18.01,10.44,4.68,12,TRUE,TRUE,,FALSE,"Lecture,E25-111/TR/0/1/F/0/2;Recitation,2-146/MW/0/9,2-146/MW/0/10,2-146/MW/0/11,2-146/MW/0/12,4-159/MW/0/12,4-159/MW/0/1,2-146/MW/0/1,2-132/MW/0/2"
49,18.02,9.91,5.61,12,TRUE,TRUE,"18.02,",FALSE,"Lecture,26-100/TR/0/1/F/0/2;Recitation,2-142/MW/0/9,2-136/MW/0/9,2-142/MW/0/10,2-136/MW/0/10,2-139/MW/0/11,2-143/MW/0/11,2-131/MW/0/11,2-139/MW/0/12,2-143/MW/0/12,4-153/MW/0/12,2-131/MW/0/1,2-143/MW/0/1,2-136/MW/0/1,2-136/MW/0/2,2-143/MW/0/2,2-143/MW/0/3"
50,8.01,11.87,5.45,12,TRUE,FALSE,,FALSE,"Lecture,26-152/MWF/0/9,26-152/MWF/0/10,26-152/MWF/0/11,26-152/MWF/0/12,26-152/MWF/0/1,26-152/MWF/0/2,26-152/MWF/0/3,26-152/MWF/0/4,26-152/TRF/0/9,26-152/TRF/0/10,26-152/TRF/0/11,26-152/TRF/0/12,26-152/TRF/0/2,26-152/TRF/0/3"
51,8.02,10.26,5.25,12,TRUE,TRUE,"18.01, 8.01,",FALSE,"Lecture,32-082/MW/0/9-11/F/0/10,32-082/MW/0/11-1/F/0/11"
52,5.111,8.85,5.12,12,TRUE,TRUE,,FALSE,"Lecture,10-250/MWF/0/12;Recitation,36-155/TR/0/11,26-168/TR/0/11,36-155/TR/0/12,26-168/TR/0/12,24-112/TR/0/12,26-142/TR/0/1,4-265/TR/0/1,26-142/TR/0/2,4-265/TR/0/2"
53,7.012,8.51,5.33,12,TRUE,FALSE,,FALSE,"Lecture,10-250/MWF/0/10;Recitation,26-204/TR/0/9,26-204/TR/0/12,26-204/TR/0/1,26-322/TR/0/1,26-210/TR/0/1,26-204/TR/0/2,26-210/TR/0/2,26-210/TR/0/3,26-204/TR/0/3,26-210/TR/1/7 PM,26-210/TR/0/9,26-204/TR/0/10,26-210/TR/0/10,35-308/TR/0/10,26-210/TR/0/11,35-308/TR/0/11,26-204/TR/0/11,26-210/TR/0/12"
