,subject_id,hours,rating,units,offered_fall,offered_spring,prerequisites,is_hass,schedule
0,6.046,11.82,5.32,12,TRUE,TRUE,"6.006,",0,TR11-12.30;F2
1,2.017,13.26,5.8,12,FALSE,TRUE,"2.003, 2.016,",0,TR11-12.30; M2-5
2,2.008,13.3,5.19,12,TRUE,TRUE,,0,W2-5;T9-12
3,2.019,19.08,4.15,12,FALSE,TRUE,"2.001, 2.003, 2.005,",0,F1-2;F2-5
4,2.001,12.07,5.09,12,TRUE,TRUE,"8.01,",0,TR10.30-12.30;F3.30-5
5,21H.354,12.43,6.2,12,FALSE,TRUE,,1,T1-4
6,6.042,11.09,4.91,12,TRUE,TRUE,"18.01,",0,TR2.30-4; WF3
7,6.00,11.29,5.16,12,TRUE,TRUE,,0,MW3-4.30;F1
8,14.05,9.2,6.17,12,TRUE,TRUE,"14.01,",1,MW1-2.30;F10
9,21G.506,7.2,6.63,12,FALSE,TRUE,"21G.505,",1,TR1-2.30
10,14.75,9.7,6.3,12,FALSE,TRUE,"14.01,",1,
11,21G.503,9.5,6.83,12,TRUE,FALSE,,1,MTRF10;
12,21G.504,9.67,6.73,12,FALSE,TRUE,"21G.503,",1,
13,2.004,11.68,4.99,12,TRUE,TRUE,"8.02, 2.003,",0,TR9.30-11;T1-3
14,6.009,10.44,5.65,12,TRUE,TRUE,"6.00,",0,M11-12.30;W1-3
15,14.18,9,7,12,FALSE,TRUE,"14.19,",1,
16,2.THU,12,5.5,0,TRUE,TRUE,,0,
17,14.26,7.81,6.3,12,FALSE,TRUE,"14.01,",1,
18,2.670,12.96,6.63,3,TRUE,TRUE,,0,
19,2.007,18.6,5.83,12,FALSE,TRUE,"2.001, 2.670,",0,
20,18.06,8.6,5.26,12,TRUE,TRUE,"18.02,",0,MWF11;T12
21,6.036,10.04,5.04,12,TRUE,TRUE,"18.02, 6.00,",0,T9.30-11;F2.30-4
22,2.671,16.98,4.75,12,TRUE,TRUE,"8.02, 2.001, 2.003, 2.086,",0,TR12.30-2;W2-5
23,6.006,13.24,5.64,12,TRUE,TRUE,"6.042, 6.00,",0,TR11;WF11
24,6.207,8.95,2.75,12,FALSE,TRUE,"14.30,",1,
25,6.UAR,7.4,5.14,6,TRUE,TRUE,,0,R4;
26,14.32,8.86,5.99,12,TRUE,TRUE,"14.30,",0,TR1-2.30;F2
27,2.003,10.47,5.41,12,TRUE,TRUE,"8.02,",0,TR9-10.30;R3
28,2.009,24.03,6.28,15,TRUE,FALSE,"2.001, 2.003, 2.005, 2.670,",0,MWF1;T2-5
29,2.086,9.79,4.39,12,TRUE,TRUE,"18.02, 8.01,",0,MW12;R2-4
30,2.016,8.85,6.17,12,TRUE,FALSE,"2.005,",0,TR11-12.30
31,2.005,12.11,5.96,12,TRUE,TRUE,"18.02, 8.02, 18.06,",0,MW9-11;R2
32,17.433,12,5.5,12,FALSE,TRUE,,1,
33,14.54,7.4,5.78,12,TRUE,FALSE,"14.01,",1,MW10.30-12;F11
34,2.014,15.74,5.4,12,FALSE,TRUE,"2.001, 2.003, 2.005, 2.670,",0,
35,2.013,15.87,5.72,12,TRUE,FALSE,"2.001, 2.003, 2.005, 2.670,",0,TR2.30-5
36,14.30,8.92,4.85,12,TRUE,FALSE,"18.02,",0,TR1-2.30;F2
37,18.03,10.13,5.16,12,TRUE,TRUE,,0,"MW1,F12;TR9"
38,21G.593,8,6.8,13,TRUE,FALSE,"21G.504,",1,TR2-3.30
39,21G.505,8.56,6.53,12,TRUE,FALSE,"21G.504,",1,"MW9-10.30,F9"
40,21G.591,7.55,6.35,13,TRUE,FALSE,"21G.504,",1,
41,14.19,8.2,6.3,12,TRUE,FALSE,"14.01,",1,MW2.30-4;F1
42,14.64,7.4,6.7,12,TRUE,FALSE,"14.30,",1,TR10.30-12;F10.30-12
43,2.006,13.53,5.44,12,TRUE,TRUE,"2.005,",0,MW9.30-11F9;F2
44,14.01,7.4,5.29,12,TRUE,TRUE,,1,MW11;F12
45,6.215,11,4.8,12,TRUE,FALSE,"18.06,",0,TR1-2.30;W3
46,14.41,8.6,6.7,12,TRUE,FALSE,"14.01,",1,MW2.30-4;F1
47,2.002,11.07,6,12,FALSE,TRUE,"5.111, 2.001,",0,MW11-12.30;W3-5
48,18.01,10.44,4.68,12,TRUE,TRUE,,0,"TR1,F2;MW2"
49,18.02,9.91,5.61,12,TRUE,TRUE,"18.02,",0,"TR1,F2;MW1"
50,8.01,11.87,5.45,12,TRUE,FALSE,,0,MWF9
51,8.02,10.26,5.25,12,TRUE,TRUE,"18.01, 8.01,",0,"MW9-11,F10"
52,5.111,8.85,5.12,12,TRUE,TRUE,,0,MWF12;TR11
53,7.012,8.51,5.33,12,TRUE,FALSE,,0,MWF10;TR9
